# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.27%  countwords_par_  libicuuc.so.72.1           [.] uhash_compareChars_72
     0.27%  countwords_par_  libicuuc.so.72.1           [.] uprv_isInvariantUString_72
     0.26%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::NumberPropertyMapper::create(icu_72::number::impl::DecimalFormatProperties const&, icu_72::DecimalFormatSymbols const&, icu_72::number::impl::DecimalFormatWarehouse&, icu_72::number::impl::DecimalFormatProperties&, UErrorCode&)
     0.26%  countwords_par_  libicuuc.so.72.1           [.] ucurr_forLocale_72
     0.26%  countwords_par_  libicuuc.so.72.1           [.] ulocimp_getKeywordValue_72
     0.25%  countwords_par_  [kernel.kallsyms]          [k] memset_orig
     0.25%  countwords_par_  libc.so.6                  [.] __GI___fstatat64
     0.25%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::Locale()
     0.25%  countwords_par_  libicuuc.so.72.1           [.] u_UCharsToChars_72
     0.25%  countwords_par_  libicuuc.so.72.1           [.] uprv_isASCIILetter_72
     0.25%  countwords_par_  libicuuc.so.72.1           [.] ures_getByKeyWithFallback_72
     0.24%  countwords_par_  libicui18n.so.72.1         [.] icu_72::CurrencyUnit::CurrencyUnit(icu_72::ConstChar16Ptr, UErrorCode&)
     0.24%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::DecimalFormatProperties::_equals(icu_72::number::impl::DecimalFormatProperties const&, bool) const
     0.23%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UnicodeString::fastCopyFrom(icu_72::UnicodeString const&)@plt
     0.23%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::LocalizedNumberFormatter::LocalizedNumberFormatter(icu_72::number::NumberFormatterSettings<icu_72::number::LocalizedNumberFormatter> const&)
     0.23%  countwords_par_  libicuuc.so.72.1           [.] icu_72::StringPiece::StringPiece(char const*)
     0.23%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::UnicodeString(char16_t const*)
     0.23%  countwords_par_  libicuuc.so.72.1           [.] uloc_getKeywordValue_72
     0.22%  countwords_par_  libc.so.6                  [.] llseek@GLIBC_2.2.5
     0.22%  countwords_par_  libicuuc.so.72.1           [.] ulocimp_getCountry_72(char const*, char const**, UErrorCode&)
     0.22%  countwords_par_  libicuuc.so.72.1           [.] uprv_malloc_72
     0.21%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::setToBogus()
     0.21%  countwords_par_  libicuuc.so.72.1           [.] umtx_unlock_72
     0.21%  countwords_par_  libicuuc.so.72.1           [.] uprv_asciitolower_72
     0.20%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::~DecimalFormat()
     0.20%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::operator=(icu_72::MeasureUnit const&)
     0.20%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::SymbolsWrapper::doCleanup()
     0.20%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::addHardRef(icu_72::SharedObject const*) const
     0.20%  countwords_par_  libicuuc.so.72.1           [.] res_countArrayItems_72
     0.19%  countwords_par_  [kernel.kallsyms]          [k] exit_to_user_mode_loop
     0.19%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::MeasureUnit(int, int)
     0.19%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::operator=(icu_72::MeasureUnit&&)
     0.18%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::StringProp::operator=(icu_72::number::impl::StringProp&&)
     0.18%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::UnicodeString(icu_72::UnicodeString const&)
     0.17%  countwords_par_  libc.so.6                  [.] __memset_avx2_unaligned_erms
     0.17%  countwords_par_  libc.so.6                  [.] _int_free_maybe_consolidate
     0.17%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::AffixUtils::escape(icu_72::UnicodeString const&)
     0.17%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::AffixUtils::hasCurrencySymbols(icu_72::UnicodeString const&, UErrorCode&)
     0.16%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::construct(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&, UErrorCode&)
