# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock:ppp'
# Event count (approx.): 4119250000
#
# Overhead  Command          Shared Object                       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.18%  countwords_par_  libicuuc.so.72.1                    [.] ulocimp_getKeywordValue_72
     0.17%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::OlsonTimeZone::operator=(icu_72::OlsonTimeZone const&)
     0.17%  countwords_par_  libicuuc.so.72.1                    [.] res_countArrayItems_72
     0.17%  countwords_par_  libicuuc.so.72.1                    [.] ulocimp_getRegionForSupplementalData_72
     0.17%  countwords_par_  libicuuc.so.72.1                    [.] uprv_isInvariantUString_72
     0.17%  countwords_par_  libicuuc.so.72.1                    [.] uprv_malloc_72
     0.16%  countwords_par_  libicuuc.so.72.1                    [.] u_strlen_72
     0.16%  countwords_par_  [kernel.kallsyms]                   [k] finish_task_switch.isra.0
     0.16%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::~GregorianCalendar()
     0.16%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::StringProp::operator=(icu_72::number::impl::StringProp&&)
     0.16%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UObject::~UObject()
     0.16%  countwords_par_  libicuuc.so.72.1                    [.] res_getStringNoTrace_72
     0.16%  countwords_par_  libicuuc.so.72.1                    [.] strlen@plt
     0.15%  countwords_par_  [kernel.kallsyms]                   [k] memset_orig
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::StringPiece::StringPiece(char const*)
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnifiedCache::addHardRef(icu_72::SharedObject const*) const
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] memcpy@plt
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] uloc_getCountry_72
     0.15%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::NumberFormatter::with()
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::Locale()
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::SimpleFormatter::applyPatternMinMaxArguments(icu_72::UnicodeString const&, int, int, UErrorCode&)
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] ulocimp_getScript_72(char const*, char const**, UErrorCode&)
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] uprv_asciitolower_72
     0.15%  countwords_par_  libicuuc.so.72.1                    [.] ures_getByIndex_72
     0.14%  countwords_par_  [kernel.kallsyms]                   [k] __d_lookup_rcu
     0.14%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UMemory::operator new[](unsigned long)
     0.13%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::AffixUtils::escape(icu_72::UnicodeString const&)
     0.13%  countwords_par_  libicuuc.so.72.1                    [.] uloc_getName_72
     0.13%  countwords_par_  libicuuc.so.72.1                    [.] ulocimp_getCountry_72(char const*, char const**, UErrorCode&)
     0.12%  countwords_par_  [kernel.kallsyms]                   [k] aa_dfa_match
     0.12%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::MeasureUnit::MeasureUnit(int, int)
     0.12%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::IntegerWidth::zeroFillTo(int)
     0.12%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::operator=(icu_72::number::LocalizedNumberFormatter&&)
     0.12%  countwords_par_  libicuuc.so.72.1                    [.] u_asciiToUpper_72
     0.12%  countwords_par_  libicuuc.so.72.1                    [.] u_strcpy_72
     0.12%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormat::create(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&)
     0.11%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::setupFastFormat()
     0.11%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::OlsonTimeZone::clearTransitionRules()
     0.11%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::Scale::operator=(icu_72::number::Scale&&)
     0.11%  countwords_par_  libicuuc.so.72.1                    [.] T_CString_integerToString_72
     0.11%  countwords_par_  libicuuc.so.72.1                    [.] free@plt
     0.10%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000151ac0
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UMemory::operator delete[](void*)
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UMemory::operator new(unsigned long)
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] strchr@plt
     0.10%  countwords_par_  libicuuc.so.72.1                    [.] ures_getByKey_72
     0.10%  countwords_par_  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     0.10%  countwords_par_  countwords_par_tbb                  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.10%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::MeasureUnit::MeasureUnit()
